nir,germ,gert,p,r,mismatchMin,mismatchMean,mismatchMax,NILhomozIntroMean,NILhetMean,PercNILsNoIntro
0.01,0.0001,0.001,0.25,0.00046771955535460937,9.932897757372417e-05,0.0015819059391370888,0.00788745658955795,0.018772444042552086,0.0024133029835310747,0.0
0.01,0.0001,0.001,0.25,0.0009354391107092187,9.932897757372417e-05,0.0015762343771459966,0.007909529695685443,0.018923803287548783,0.0024262951934020363,0.0
0.01,0.0001,0.001,0.5,0.00023385977767730469,9.932897757372417e-05,0.0015783803735750581,0.007898493142621697,0.018832857818452054,0.0022931250422246825,0.0
0.01,0.0001,0.001,0.5,0.00046771955535460937,9.932897757372417e-05,0.0015743949516353719,0.007913208546706694,0.018974472906045536,0.002291825821237586,0.0
0.01,0.0001,0.001,0.5,0.0009354391107092187,9.932897757372417e-05,0.0015609058312241256,0.007913208546706694,0.01926614801764862,0.002399661163166565,0.0
0.01,0.0001,0.001,0.75,0.00023385977767730469,9.932897757372417e-05,0.001566883964133655,0.007905850844664193,0.01914856851831642,0.0022820816638343647,0.0
0.01,0.0001,0.001,0.75,0.00046771955535460937,9.932897757372417e-05,0.0015579934074989698,0.007913208546706694,0.01931681763614537,0.0022846801058085575,0.0
0.01,0.0001,0.001,0.75,0.0009354391107092187,9.932897757372417e-05,0.0015589131202542819,0.007913208546706694,0.01929603010035183,0.0022755855588988843,0.0
0.01,0.0001,0.001,0.9,0.00023385977767730469,9.932897757372417e-05,0.001550022563619597,0.007916887397727942,0.019496110132364634,0.002293125042224682,0.0
0.01,0.0001,0.001,0.9,0.00046771955535460937,9.932897757372417e-05,0.0015564605529067828,0.007913208546706694,0.01935969192871954,0.002283380884821461,0.0
0.01,0.0001,0.001,0.9,0.0009354391107092187,9.932897757372417e-05,0.001557380265662095,0.007916887397727942,0.01935319582378406,0.0022703886749504995,0.0
0.01,0.0001,0.01,0.1,0.00023385977767730469,9.932897757372417e-05,0.0015886504993427118,0.007905850844664193,0.01861199025064571,0.002758246155605099,0.0
0.01,0.0001,0.01,0.1,0.00046771955535460937,9.932897757372417e-05,0.0015883439284242746,0.007905850844664193,0.018624332850023125,0.0026445643192341867,0.0
0.01,0.0001,0.01,0.1,0.0009354391107092187,9.932897757372417e-05,0.0015872709302097434,0.007894814291600447,0.01860874219817797,0.0026919858852631957,0.0
0.01,0.0001,0.01,0.25,0.00023385977767730469,9.932897757372417e-05,0.0015851249337806815,0.007898493142621697,0.018665907921610204,0.002593894700737438,0.0
0.01,0.0001,0.01,0.25,0.00046771955535460937,9.932897757372417e-05,0.0015866577883728687,0.007898493142621697,0.01866265986914246,0.002586748985308409,0.0
0.01,0.0001,0.01,0.25,0.0009354391107092187,9.932897757372417e-05,0.001580066513626464,0.007916887397727942,0.018819215998087547,0.0025925954797503415,0.0
0.01,0.0001,0.01,0.5,0.00023385977767730469,9.932897757372417e-05,0.0015832855082700571,0.007913208546706694,0.01871332948763921,0.002551020408163265,0.0
0.01,0.0001,0.01,0.5,0.00046771955535460937,9.932897757372417e-05,0.001579606657248808,0.007927923950791688,0.018851046912271404,0.0025237367674342463,0.0
